p1,p2,rank,fs,w1sp,w2sp,wsp,wrp,tpw,aces,df,bpc,bps,bpo,bpw,tmw,complete,serveadv,h2h,fatigue,uncertainty,winner,tourney_id,year,p1_odd,p2_odd
Jeremy Chardy,Gregoire Barrere,-29.0,-0.047343172807082334,0.08228953149802276,0.06144905173377485,0.06554007747128565,-0.003278264681986387,0.02965172161080248,0.23655582989066104,0.10848394566673444,-0.20726660979653416,0.1313794981969597,0.011808223348554137,-0.09069520408727227,0.2564102564102564,0.0215,0.06226181278929928,0.0,0.0,0.19876314264386769,0,3.0,2020,1.5,2.5
Mikael Ymer,Aljaz Bedene,18.0,0.08888525120254097,-0.11682986279604313,0.04668904006140849,-0.033881040293524116,-0.021158259032992288,-0.017939279365743244,-0.5109553846526761,0.1173081699540394,0.1906827174255116,-0.003443898443122706,-0.1450849184798927,-0.08169636361923355,-0.30000000000000004,-0.0249,-0.05503929932651641,0.0,0.0,0.22751680902630506,1,3.0,2020,1.83,1.83
Adrian Mannarino,Alexander Bublik,-12.0,0.010006249992823513,-0.05694722166372801,0.09585329219440393,0.003399187982853769,0.03910431238009504,0.018477978659450445,-0.5303380953692093,-0.3822475037821426,0.07423348239027737,0.044947285682620734,0.0958962969107065,0.0686650049549693,0.0198717948717948,0.0256,0.04250350036294881,0.0,0.0,0.0571519471946762,1,3.0,2020,1.72,2.0
Tennys Sandgren,Corentin Moutet,-13.0,-0.07134332352134165,0.021289076447941983,-0.061074288794653764,-0.015452996609659488,-0.031569097314773975,-0.015882989474532594,0.2973121793107688,-0.08054223519360637,0.106954003642868,-0.04468522157666899,-0.19786341544784586,0.04189208115939741,-0.1875,-0.024,-0.04702209392443346,0.0,0.0,0.5359802789443756,1,3.0,2020,2.25,1.57
Fernando Verdasco,Pablo Andujar,-15.0,-0.003721505408408321,0.08710462788106378,0.02614960212807144,0.06539228653259667,-0.004591124059166007,0.02946645061250436,0.29662454685669204,0.0885927857558148,-0.11090162320493237,0.12127761776857705,0.019416082257774248,-0.01893178409533469,0.17375000000000002,0.0219,0.06080116247343065,0.0,0.0,0.07109282477893225,0,3.0,2020,1.25,3.75
Kyle Edmund,Filip Krajinovic,29.0,-0.048382232645407086,0.05345680250379392,0.008104140427690698,0.0259230999289718,-0.022848680192805948,0.00014540632426068845,0.0765164193224796,0.04060236111753604,-0.08401567147793099,-0.0020949952308161324,-0.0688164525683097,-0.08380365272634083,-0.08687943262411346,-0.0053,0.003074419736165845,1.0,0.0,0.030893452896637325,1,3.0,2020,1.83,1.83
Marton Fucsovics,Frances Tiafoe,23.0,-0.07047342730863315,-0.010988040755955608,-0.014162946404077337,-0.025980224988258468,0.04142544589615872,0.004214935586103474,-0.2458128735555345,0.08983819750254017,0.10883884041313983,0.004800290163621712,0.17520209243150042,-0.027472039787198917,-0.06356589147286823,0.0171,0.015445220907900237,1.0,0.0,0.04248450433267398,0,3.0,2020,2.0,1.72
Jordan Thompson,Miomir Kecmanovic,1.0,0.011391394074324771,-0.011460458689512398,-0.0035798881241844156,-0.009016264621541259,0.02757052403259158,0.005760965902565362,0.20702324334283104,-0.044981462302466864,-0.13908984661250273,-0.055209648943447036,0.07299704970042653,0.039407541006800884,0.0,0.0142,0.01855425941105032,-1.0,0.0,0.1936221783827188,1,3.0,2020,2.1,1.66
Laslo Djere,Lorenzo Sonego,-12.0,-0.017945631512907734,-0.05137799771340601,0.0032462696801844326,-0.03286028733334456,0.04966577331444233,0.010859496315630546,-0.16398968160074645,0.09024735504316284,0.07575293755697354,-0.0016848222368344155,0.10460186469889536,0.10866062560635864,0.0888888888888889,0.0198,0.016805485981097767,-1.0,0.0,0.3041938435231073,0,3.0,2020,3.0,1.36
Pierre Hugues Herbert,Marco Cecchinato,-10.0,-0.03618226635263822,0.036335613715285375,0.013523040642531514,0.020357556415885214,0.024188786423468226,0.021143243080149976,0.2091205235978508,0.052169740141868426,0.010141735027165531,0.08593112194487308,0.028213781734087506,0.05256141610130344,0.17473118279569888,0.0221,0.04454634283935344,1.0,0.0,0.060468941109717976,0,3.0,2020,1.53,2.37
Malek Jaziri,Mikhail Kukushkin,163.0,-0.07659823327547632,0.03443805350158602,-0.04166555025106883,-0.0107621746598201,-0.014018910659767458,-0.010161097014966092,0.05002162856804671,0.14342174107352584,-0.011687124693305684,-0.02262276502387728,-0.024401008148084213,0.006927502543038533,-0.06311475409836059,-0.0122,-0.02478108531958756,1.0,0.0,0.03527186300553093,1,3.0,2020,3.5,1.28
Hugo Dellien,Rafael Nadal,72.0,0.06399791953961675,-0.13113852250972402,-0.0970283073948015,-0.10916668913795267,-0.07625615936699948,-0.08565116415549663,-0.09728562848514273,0.016219855439122938,0.487231269569932,-0.14361131808208594,-0.2105622141605852,-0.1589713662620061,-0.7166666666666668,-0.0915,-0.18542284850495214,0.0,0.0,0.18313397355298347,1,6.0,2020,29.0,1.005
Joao Sousa,Federico Delbonis,-17.0,0.0162041466730366,0.008985981791598594,-0.003182856457803529,0.0032461048548170232,-0.018619357760613464,-0.0071161026737076565,-0.022009529160125496,-0.16168118675686813,-0.05974963808074096,-0.03475608740872972,-0.013506611057596095,-0.030091602707879025,-0.04013157894736846,-0.0104,-0.01537325290579644,0.0,0.0,0.03807500113026101,1,6.0,2020,1.9,1.9
Peter Gojowczyk,Christopher Eubanks,-101.0,-0.15187083118427508,0.04951748626182195,0.05792498563382481,0.015598285368580432,0.10062431449848236,0.05304205557726782,-0.20400251073256306,-0.07122487877521437,-0.2191189917327128,0.16778402432764838,0.41334387641248177,0.23140075402105495,0.5,0.0706,0.1162225998670628,0.0,0.0,0.34107141609795955,0,6.0,2020,1.53,2.5
Pablo Carreno Busta,Jozef Kovalik,-109.0,0.04859512568035351,0.013254818856056838,0.0372723152213228,0.028903152616860606,0.01937326705068937,0.024061156796738592,0.11682490851792132,-0.08284200032783096,-0.03738877009130392,0.10073259052515936,0.08628356186649032,0.041139511828901465,0.0942028985507246,0.022,0.048276419667549975,1.0,0.0,0.08931567320005787,0,6.0,2020,1.11,6.5
Lorenzo Sonego,Nick Kyrgios,27.0,-0.009619003757988407,-0.0484823958356575,-0.07234947069769121,-0.057830940895682977,-0.049309416268376594,-0.04945300020850524,-0.5323240746973521,-0.08096531029104588,0.18363078409085906,-0.08177968916092783,-0.0669771826509708,-0.20594270499225695,-0.3738095238095239,-0.0534,-0.10714035716405956,-1.0,0.0,0.0842158712519721,1,6.0,2020,6.0,1.12
Pablo Cuevas,Gilles Simon,-15.0,0.02342715310038357,0.05366233131558551,0.012619847772882609,0.04026105805062752,-0.048399690479189184,-0.004435659427373673,0.2305675259172292,0.02431795055175981,-0.13508070073516135,0.015715837021410772,-0.17789287496492515,-0.07594633625745723,-0.009652509652509631,-0.0158,-0.008138632428561665,-1.0,0.0,0.02450345823615441,1,6.0,2020,2.75,1.44
Ivo Karlovic,Vasek Pospisil,-14.0,0.0730344191622394,0.07316635351901102,0.04919529382364807,0.08353655069692123,-0.05509317965376992,0.009610257541201095,0.7938424288696982,0.08480971176920257,-0.22475888254059687,0.153505767028704,-0.09463075422906396,-0.15687020056879858,0.141812865497076,-0.0132,0.02844337104315131,-0.6,0.0,0.04116721558570572,0,6.0,2020,4.0,1.25
Aljaz Bedene,James Duckworth,-39.0,0.017874487108995533,0.01967182176175175,-0.006789843824619557,0.010723995130712316,0.047395154602219325,0.020505478165052767,0.00336869861571365,-0.09923600474234363,-0.03380599694181752,-0.028917329150561773,0.1766981272396011,0.005686900716373955,0.14473684210526316,0.0337,0.05811914973293164,-1.0,0.0,0.19272727179433247,0,6.0,2020,1.72,2.1
Ernests Gulbis,Felix Auger Aliassime,234.0,-0.07599025819311489,0.02651036661168693,-0.03597424790850301,-0.017457444469349825,-0.020022330632458896,-0.01681630996199235,0.023194543951824853,0.04027676730775137,-0.013606631586313478,-0.04524041012209645,-0.041102614116585945,0.03836825947380984,-0.09999999999999998,-0.0185,-0.03747977510180872,-1.0,0.0,0.12059254135015975,0,6.0,2020,4.33,1.22
Tallon Griekspoor,Taylor Fritz,141.0,0.019726461928127548,-0.04753779140967962,-0.0859853461567111,-0.05707788699071159,0.02406105349567833,-0.022624639081501752,-0.5710734364715258,-0.07873395359064149,0.2560864754495327,-0.2183490041451825,0.022815636135231576,0.3345071276918411,0.0,-0.0011,-0.03301683349503326,0.0,0.0,0.4072404086738948,1,6.0,2020,4.5,1.2
Kevin Anderson,Ilya Ivashka,-27.0,0.02534377654655617,0.07782581060671101,0.09977881532741344,0.09419616051500036,-0.017830400730917628,0.032287478689052296,0.6255959839654446,-0.12699273158225474,-0.2710124712976205,0.16484670164126025,-0.16877680039492138,-0.05500668178151452,0.3736842105263158,0.0224,0.07636575978408272,1.0,0.0,0.07971496276125077,0,6.0,2020,1.22,4.33
Alex Bolt,Albert Ramos,98.0,-0.027119674978734017,-0.02284619922781073,-0.0642167169874504,-0.041348493901588235,-0.01702875343732979,-0.028902036863095008,0.26045610476934977,0.08067536809535908,0.16929774769903455,-0.10761219372908716,0.022113247569742644,-0.00926866946355348,-0.3269230769230769,-0.025,-0.058377247338918026,0.0,0.0,0.17056494550724524,0,6.0,2020,2.3,1.61
