Location,Tournament,Winner,Loser,B365W,B365L,year,tourney_id
Brisbane,Brisbane International,Gasquet R.,Nieminen J.,1.44,2.62,2010,1.0
Brisbane,Brisbane International,Odesnik W.,Clement A.,2.25,1.57,2010,1.0
Brisbane,Brisbane International,Gicquel M.,Petzschner P.,1.61,2.2,2010,1.0
Brisbane,Brisbane International,Falla A.,Chardy J.,2.62,1.44,2010,1.0
Brisbane,Brisbane International,Levy H.,Llodra M.,3.0,1.36,2010,1.0
Brisbane,Brisbane International,Bellucci T.,Chela J.I.,1.61,2.2,2010,1.0
Brisbane,Brisbane International,Stepanek R.,Millman J.,1.04,10.0,2010,1.0
Brisbane,Brisbane International,Roddick A.,Luczak P.,1.08,7.0,2010,1.0
Brisbane,Brisbane International,Dolgopolov O.,Tomic B.,1.72,2.0,2010,1.0
Brisbane,Brisbane International,Berdych T.,Lindahl N.,1.12,5.5,2010,1.0
Brisbane,Brisbane International,Baghdatis M.,Fish M.,1.36,3.0,2010,1.0
Brisbane,Brisbane International,Ball C.,Zverev M.,2.1,1.66,2010,1.0
Brisbane,Brisbane International,Blake J.,Querrey S.,1.72,2.0,2010,1.0
Brisbane,Brisbane International,Ebden M.,Melzer J.,5.0,1.14,2010,1.0
Brisbane,Brisbane International,Serra F.,Reister J.,1.44,2.62,2010,1.0
Brisbane,Brisbane International,Monfils G.,Dent T.,1.22,4.0,2010,1.0
Brisbane,Brisbane International,Blake J.,Gicquel M.,1.36,3.0,2010,1.0
Brisbane,Brisbane International,Stepanek R.,Dolgopolov O.,1.12,5.5,2010,1.0
Brisbane,Brisbane International,Odesnik W.,Falla A.,2.25,1.57,2010,1.0
Brisbane,Brisbane International,Roddick A.,Ball C.,1.06,8.0,2010,1.0
Brisbane,Brisbane International,Gasquet R.,Ebden M.,1.2,4.33,2010,1.0
Brisbane,Brisbane International,Bellucci T.,Levy H.,1.4,2.75,2010,1.0
Brisbane,Brisbane International,Monfils G.,Serra F.,1.16,4.5,2010,1.0
Brisbane,Brisbane International,Berdych T.,Baghdatis M.,1.8,1.9,2010,1.0
Brisbane,Brisbane International,Stepanek R.,Odesnik W.,1.2,4.33,2010,1.0
Brisbane,Brisbane International,Monfils G.,Blake J.,1.57,2.25,2010,1.0
Brisbane,Brisbane International,Berdych T.,Bellucci T.,1.22,4.0,2010,1.0
Brisbane,Brisbane International,Roddick A.,Gasquet R.,1.25,3.75,2010,1.0
Brisbane,Brisbane International,Stepanek R.,Monfils G.,2.2,1.61,2010,1.0
Brisbane,Brisbane International,Roddick A.,Berdych T.,1.3,3.4,2010,1.0
Brisbane,Brisbane International,Roddick A.,Stepanek R.,1.4,2.87,2010,1.0
Chennai,Chennai Open,Cilic M.,Kunitsyn I.,1.12,5.5,2010,2.0
Chennai,Chennai Open,Hajek J.,Greul S.,2.62,1.44,2010,2.0
Chennai,Chennai Open,Giraldo S.,Phau B.,2.0,1.72,2010,2.0
Chennai,Chennai Open,Tipsarevic J.,Moya C.,1.4,2.75,2010,2.0
Chennai,Chennai Open,De Bakker T.,Ram R.,1.9,1.8,2010,2.0
Chennai,Chennai Open,Granollers M.,Ward J.,1.36,3.0,2010,2.0
Chennai,Chennai Open,Russell M.,Amritraj P.,1.5,2.5,2010,2.0
Chennai,Chennai Open,Ginepri R.,Soderling R.,7.0,1.08,2010,2.0
Chennai,Chennai Open,Lacko L.,Lu Y.H.,1.9,1.8,2010,2.0
Chennai,Chennai Open,Haase R.,Yang T.H.,1.33,3.25,2010,2.0
Chennai,Chennai Open,Devvarman S.,Schuettler R.,1.61,2.2,2010,2.0
Chennai,Chennai Open,Berrer M.,Ventura S.,1.28,3.5,2010,2.0
Chennai,Chennai Open,Sela D.,Istomin D.,1.8,1.9,2010,2.0
Chennai,Chennai Open,Robert S.,Sorensen L.,1.5,2.5,2010,2.0
Chennai,Chennai Open,Kim K.,Brands D.,2.1,1.66,2010,2.0
Chennai,Chennai Open,Wawrinka S.,Bopanna R.,1.12,5.5,2010,2.0
Chennai,Chennai Open,De Bakker T.,Haase R.,2.2,1.61,2010,2.0
Chennai,Chennai Open,Giraldo S.,Hajek J.,1.57,2.25,2010,2.0
Chennai,Chennai Open,Cilic M.,Granollers M.,1.1,6.5,2010,2.0
Chennai,Chennai Open,Tipsarevic J.,Devvarman S.,1.36,3.0,2010,2.0
Chennai,Chennai Open,Sela D.,Kim K.,1.5,2.5,2010,2.0
Chennai,Chennai Open,Lacko L.,Ginepri R.,2.62,1.44,2010,2.0
Chennai,Chennai Open,Berrer M.,Robert S.,1.4,2.75,2010,2.0
Chennai,Chennai Open,Wawrinka S.,Russell M.,1.2,4.33,2010,2.0
Chennai,Chennai Open,Wawrinka S.,Berrer M.,1.22,4.0,2010,2.0
Chennai,Chennai Open,Tipsarevic J.,De Bakker T.,1.28,3.5,2010,2.0
Chennai,Chennai Open,Sela D.,Lacko L.,1.66,2.1,2010,2.0
Chennai,Chennai Open,Cilic M.,Giraldo S.,1.07,7.5,2010,2.0
Chennai,Chennai Open,Cilic M.,Tipsarevic J.,1.36,3.0,2010,2.0
Chennai,Chennai Open,Wawrinka S.,Sela D.,1.28,3.5,2010,2.0
Chennai,Chennai Open,Cilic M.,Wawrinka S.,1.44,2.75,2010,2.0
Doha,Qatar Exxon Mobil Open,Troicki V.,Gimeno-Traver D.,1.16,4.5,2010,3.0
Doha,Qatar Exxon Mobil Open,Stakhovsky S.,Youzhny M.,3.75,1.25,2010,3.0
Doha,Qatar Exxon Mobil Open,Korolev E.,Vassallo-Arguello M.,1.25,3.75,2010,3.0
Doha,Qatar Exxon Mobil Open,Rochus O.,Hajji A.,1.02,12.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Chiudinelli M.,Lorenzi P.,1.33,3.25,2010,3.0
Doha,Qatar Exxon Mobil Open,Karlovic I.,Fognini F.,1.36,3.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Starace P.,Gil F.,2.25,1.57,2010,3.0
Doha,Qatar Exxon Mobil Open,Gulbis E.,Montanes A.,1.4,2.75,2010,3.0
Doha,Qatar Exxon Mobil Open,El Aynaoui Y.,De Heart R.,2.62,1.44,2010,3.0
Doha,Qatar Exxon Mobil Open,Darcis S.,Garcia-Lopez G.,2.37,1.53,2010,3.0
Doha,Qatar Exxon Mobil Open,Seppi A.,Hernandez O.,1.2,4.33,2010,3.0
Doha,Qatar Exxon Mobil Open,Becker B.,Koellerer D.,1.53,2.37,2010,3.0
Doha,Qatar Exxon Mobil Open,Kubot L.,Maamoun K.,1.14,5.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Nadal R.,Bolelli S.,1.02,12.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Federer R.,Rochus C.,1.0,21.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Davydenko N.,Kukushkin M.,1.05,9.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Darcis S.,El Aynaoui Y.,1.44,2.62,2010,3.0
Doha,Qatar Exxon Mobil Open,Kubot L.,Stakhovsky S.,2.0,1.72,2010,3.0
Doha,Qatar Exxon Mobil Open,Federer R.,Korolev E.,1.01,15.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Troicki V.,Rochus O.,1.5,2.5,2010,3.0
Doha,Qatar Exxon Mobil Open,Davydenko N.,Chiudinelli M.,1.08,7.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Nadal R.,Starace P.,1.01,15.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Karlovic I.,Becker B.,1.44,2.62,2010,3.0
Doha,Qatar Exxon Mobil Open,Gulbis E.,Seppi A.,1.57,2.25,2010,3.0
Doha,Qatar Exxon Mobil Open,Troicki V.,Kubot L.,1.4,2.75,2010,3.0
Doha,Qatar Exxon Mobil Open,Nadal R.,Darcis S.,1.01,15.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Federer R.,Gulbis E.,1.06,8.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Davydenko N.,Karlovic I.,1.2,4.33,2010,3.0
Doha,Qatar Exxon Mobil Open,Nadal R.,Troicki V.,1.02,12.0,2010,3.0
Doha,Qatar Exxon Mobil Open,Davydenko N.,Federer R.,2.75,1.4,2010,3.0
Doha,Qatar Exxon Mobil Open,Davydenko N.,Nadal R.,2.2,1.66,2010,3.0
Auckland,Heineken Open,Statham J.,King-Turner D.,2.2,1.61,2010,4.0
Auckland,Heineken Open,Bellucci T.,Chiudinelli M.,1.5,2.5,2010,4.0
Auckland,Heineken Open,Melzer J.,Fognini F.,1.36,3.0,2010,4.0
Auckland,Heineken Open,Monaco J.,Zeballos H.,1.53,2.37,2010,4.0
Auckland,Heineken Open,Montanes A.,Lemke J.,1.25,3.75,2010,4.0
Auckland,Heineken Open,Lammer M.,Evans D.,1.57,2.25,2010,4.0
Auckland,Heineken Open,Isner J.,Garcia-Lopez G.,1.5,2.5,2010,4.0
Auckland,Heineken Open,Greul S.,Lorenzi P.,1.57,2.25,2010,4.0
Auckland,Heineken Open,Grosjean S.,Mayer F.,2.75,1.4,2010,4.0
Auckland,Heineken Open,Gicquel M.,Rochus O.,1.72,2.0,2010,4.0
Auckland,Heineken Open,Kohlschreiber P.,Cervantes I.,1.1,6.5,2010,4.0
Auckland,Heineken Open,Clement A.,Chardy J.,2.5,1.5,2010,4.0
Auckland,Heineken Open,Lammer M.,Ferrero J.C.,4.33,1.2,2010,4.0
Auckland,Heineken Open,Montanes A.,Statham J.,1.2,4.33,2010,4.0
Auckland,Heineken Open,Kohlschreiber P.,Bellucci T.,2.0,1.72,2010,4.0
Auckland,Heineken Open,Isner J.,Monaco J.,2.0,1.72,2010,4.0
Auckland,Heineken Open,Robredo T.,Greul S.,1.16,4.5,2010,4.0
Auckland,Heineken Open,Gicquel M.,Almagro N.,1.83,1.83,2010,4.0
Auckland,Heineken Open,Melzer J.,Grosjean S.,1.36,3.0,2010,4.0
Auckland,Heineken Open,Clement A.,Ferrer D.,4.0,1.22,2010,4.0
Auckland,Heineken Open,Montanes A.,Lammer M.,1.33,3.25,2010,4.0
Auckland,Heineken Open,Isner J.,Robredo T.,2.25,1.57,2010,4.0
Auckland,Heineken Open,Clement A.,Melzer J.,2.2,1.61,2010,4.0
Auckland,Heineken Open,Kohlschreiber P.,Gicquel M.,1.57,2.25,2010,4.0
Auckland,Heineken Open,Isner J.,Montanes A.,1.33,3.25,2010,4.0
Auckland,Heineken Open,Clement A.,Kohlschreiber P.,3.0,1.36,2010,4.0
Auckland,Heineken Open,Isner J.,Clement A.,1.61,2.25,2010,4.0
Sydney,Medibank International,Gasquet R.,Lopez F.,1.36,3.0,2010,5.0
Sydney,Medibank International,Seppi A.,Matosevic M.,1.28,3.5,2010,5.0
Sydney,Medibank International,Cuevas P.,Llodra M.,1.61,2.2,2010,5.0
Sydney,Medibank International,Baghdatis M.,Lindahl N.,1.16,4.5,2010,5.0
Sydney,Medibank International,Starace P.,Gil F.,2.0,1.72,2010,5.0
Sydney,Medibank International,Mayer L.,Andreev I.,1.66,2.1,2010,5.0
Sydney,Medibank International,Korolev E.,Querrey S.,2.62,1.44,2010,5.0
Sydney,Medibank International,Troicki V.,Serra F.,1.44,2.62,2010,5.0
Sydney,Medibank International,Becker B.,Chela J.I.,2.0,1.72,2010,5.0
Sydney,Medibank International,Benneteau J.,Sela D.,1.66,2.1,2010,5.0
Sydney,Medibank International,Fish M.,Ball C.,1.66,2.1,2010,5.0
Sydney,Medibank International,Luczak P.,Acasuso J.,1.9,1.8,2010,5.0
Sydney,Medibank International,Gasquet R.,Becker B.,1.28,3.5,2010,5.0
Sydney,Medibank International,Starace P.,Gimeno-Traver D.,1.36,3.0,2010,5.0
Sydney,Medibank International,Fish M.,Korolev E.,1.72,2.0,2010,5.0
Sydney,Medibank International,Mayer L.,Cuevas P.,1.66,2.1,2010,5.0
Sydney,Medibank International,Baghdatis M.,Troicki V.,1.8,1.9,2010,5.0
Sydney,Medibank International,Benneteau J.,Dent T.,,,2010,5.0
Sydney,Medibank International,Luczak P.,Berdych T.,4.0,1.22,2010,5.0
Sydney,Medibank International,Hewitt L.,Seppi A.,1.36,3.0,2010,5.0
Sydney,Medibank International,Gasquet R.,Starace P.,1.12,5.5,2010,5.0
Sydney,Medibank International,Benneteau J.,Mayer L.,1.72,2.0,2010,5.0
Sydney,Medibank International,Baghdatis M.,Hewitt L.,2.62,1.44,2010,5.0
Sydney,Medibank International,Fish M.,Luczak P.,1.44,2.62,2010,5.0
Sydney,Medibank International,Gasquet R.,Benneteau J.,1.38,2.87,2010,5.0
Sydney,Medibank International,Baghdatis M.,Fish M.,1.44,2.62,2010,5.0
Sydney,Medibank International,Baghdatis M.,Gasquet R.,2.0,1.8,2010,5.0
Melbourne,Australian Open,Gonzalez F.,Rochus O.,1.05,9.0,2010,6.0
Melbourne,Australian Open,Ljubicic I.,Kubler J.,1.04,10.0,2010,6.0
Melbourne,Australian Open,Karlovic I.,Stepanek R.,3.0,1.36,2010,6.0
Melbourne,Australian Open,Mayer F.,Petzschner P.,1.4,2.75,2010,6.0
Melbourne,Australian Open,Odesnik W.,Kavcic B.,1.4,2.75,2010,6.0
Melbourne,Australian Open,Roddick A.,De Bakker T.,1.02,12.0,2010,6.0
Melbourne,Australian Open,Golubev A.,Fish M.,3.25,1.33,2010,6.0
Melbourne,Australian Open,Murray A.,Anderson K.,1.01,15.0,2010,6.0
Melbourne,Australian Open,Del Potro J.M.,Russell M.,1.02,12.0,2010,6.0
Melbourne,Australian Open,Tomic B.,Rufin G.,1.53,2.37,2010,6.0
Melbourne,Australian Open,Nadal R.,Luczak P.,1.0,21.0,2010,6.0
Melbourne,Australian Open,Verdasco F.,Ball C.,1.03,11.0,2010,6.0
Melbourne,Australian Open,Korolev E.,Brands D.,1.25,3.75,2010,6.0
Melbourne,Australian Open,Berdych T.,Haase R.,1.11,6.0,2010,6.0
Melbourne,Australian Open,Sorensen L.,Lu Y.H.,2.75,1.4,2010,6.0
Melbourne,Australian Open,Isner J.,Seppi A.,1.4,2.75,2010,6.0
Melbourne,Australian Open,Sergeyev I.,Sela D.,4.0,1.22,2010,6.0
Melbourne,Australian Open,Monfils G.,Ebden M.,1.07,7.5,2010,6.0
Melbourne,Australian Open,Lopez F.,Cuevas P.,1.33,3.25,2010,6.0
Melbourne,Australian Open,Nieminen J.,Lindahl N.,1.28,3.5,2010,6.0
Melbourne,Australian Open,Cilic M.,Santoro F.,1.03,11.0,2010,6.0
Melbourne,Australian Open,Schuettler R.,Querrey S.,4.0,1.22,2010,6.0
Melbourne,Australian Open,Wawrinka S.,Garcia-Lopez G.,1.25,3.75,2010,6.0
Melbourne,Australian Open,Kunitsyn I.,Acasuso J.,2.1,1.66,2010,6.0
Melbourne,Australian Open,Davydenko N.,Kindlmann D.,1.0,21.0,2010,6.0
Melbourne,Australian Open,Ilhan M.,Grosjean S.,2.37,1.53,2010,6.0
Melbourne,Australian Open,Benneteau J.,Guez D.,1.22,4.0,2010,6.0
Melbourne,Australian Open,Lacko L.,Mayer L.,2.5,1.5,2010,6.0
Melbourne,Australian Open,Serra F.,Melzer J.,2.37,1.53,2010,6.0
Melbourne,Australian Open,Bellucci T.,Gabashvili T.,1.2,4.33,2010,6.0
Melbourne,Australian Open,Blake J.,Clement A.,1.33,3.25,2010,6.0
Melbourne,Australian Open,Granollers M.,Soderling R.,6.0,1.11,2010,6.0
Melbourne,Australian Open,Kohlschreiber P.,Zeballos H.,1.2,4.33,2010,6.0
Melbourne,Australian Open,Gicquel M.,Bolelli S.,1.44,2.62,2010,6.0
Melbourne,Australian Open,Federer R.,Andreev I.,1.01,15.0,2010,6.0
Melbourne,Australian Open,Kubot L.,Zverev M.,1.4,2.75,2010,6.0
Melbourne,Australian Open,Troicki V.,Lapentti N.,1.22,4.0,2010,6.0
Melbourne,Australian Open,Giraldo S.,Robredo T.,6.5,1.1,2010,6.0
Melbourne,Australian Open,Koubek S.,Ram R.,1.44,2.62,2010,6.0
Melbourne,Australian Open,Veic A.,Koellerer D.,2.25,1.57,2010,6.0
Melbourne,Australian Open,Monaco J.,Gulbis E.,2.25,1.57,2010,6.0
Melbourne,Australian Open,Marchenko I.,Moya C.,1.8,1.9,2010,6.0
Melbourne,Australian Open,Haas T.,Greul S.,1.16,4.5,2010,6.0
Melbourne,Australian Open,Tsonga J.W.,Stakhovsky S.,1.08,7.0,2010,6.0
Melbourne,Australian Open,Baghdatis M.,Lorenzi P.,1.03,11.0,2010,6.0
Melbourne,Australian Open,Ferrer D.,Gil F.,1.08,7.0,2010,6.0
Melbourne,Australian Open,Tipsarevic J.,Harrison R.,1.062,8.0,2010,6.0
Melbourne,Australian Open,Dodig I.,Ferrero J.C.,3.5,1.28,2010,6.0
Melbourne,Australian Open,Llodra M.,Vassallo-Arguello M.,1.4,2.75,2010,6.0
Melbourne,Australian Open,Falla A.,Daniel M.,1.25,3.75,2010,6.0
Melbourne,Australian Open,Dent T.,Fognini F.,1.4,2.75,2010,6.0
Melbourne,Australian Open,Hajek J.,Ginepri R.,3.5,1.28,2010,6.0
Melbourne,Australian Open,Hanescu V.,Chela J.I.,1.5,2.5,2010,6.0
Melbourne,Australian Open,Montanes A.,Hernandez O.,1.22,4.0,2010,6.0
Melbourne,Australian Open,Becker B.,Zemlja G.,1.4,2.75,2010,6.0
Melbourne,Australian Open,Youzhny M.,Gasquet R.,2.1,1.66,2010,6.0
Melbourne,Australian Open,Hewitt L.,Hocevar R.,1.01,13.0,2010,6.0
Melbourne,Australian Open,Chiudinelli M.,Matosevic M.,1.22,4.0,2010,6.0
Melbourne,Australian Open,Robert S.,Starace P.,2.25,1.57,2010,6.0
Melbourne,Australian Open,Young D.,Rochus C.,1.66,2.1,2010,6.0
Melbourne,Australian Open,Djokovic N.,Gimeno-Traver D.,1.01,15.0,2010,6.0
Melbourne,Australian Open,Berrer M.,Vliegen K.,1.22,4.0,2010,6.0
Melbourne,Australian Open,Istomin D.,Chardy J.,3.0,1.36,2010,6.0
Melbourne,Australian Open,Almagro N.,Malisse X.,1.9,1.8,2010,6.0
Melbourne,Australian Open,Gonzalez F.,Ilhan M.,1.02,12.0,2010,6.0
Melbourne,Australian Open,Roddick A.,Bellucci T.,1.05,9.0,2010,6.0
Melbourne,Australian Open,Korolev E.,Berdych T.,4.0,1.22,2010,6.0
Melbourne,Australian Open,Lopez F.,Schuettler R.,1.4,2.75,2010,6.0
Melbourne,Australian Open,Kohlschreiber P.,Odesnik W.,1.25,3.75,2010,6.0
Melbourne,Australian Open,Nadal R.,Lacko L.,1.0,21.0,2010,6.0
Melbourne,Australian Open,Isner J.,Sorensen L.,1.11,6.0,2010,6.0
Melbourne,Australian Open,Ljubicic I.,Golubev A.,1.5,2.5,2010,6.0
Melbourne,Australian Open,Wawrinka S.,Kunitsyn I.,1.12,5.5,2010,6.0
Melbourne,Australian Open,Monfils G.,Veic A.,1.04,10.0,2010,6.0
Melbourne,Australian Open,Mayer F.,Troicki V.,2.75,1.4,2010,6.0
Melbourne,Australian Open,Serra F.,Nieminen J.,1.72,2.0,2010,6.0
Melbourne,Australian Open,Del Potro J.M.,Blake J.,1.2,4.33,2010,6.0
Melbourne,Australian Open,Karlovic I.,Benneteau J.,1.57,2.25,2010,6.0
Melbourne,Australian Open,Murray A.,Gicquel M.,1.01,15.0,2010,6.0
Melbourne,Australian Open,Cilic M.,Tomic B.,1.1,6.5,2010,6.0
Melbourne,Australian Open,Davydenko N.,Marchenko I.,1.01,15.0,2010,6.0
Melbourne,Australian Open,Almagro N.,Becker B.,1.66,2.1,2010,6.0
Melbourne,Australian Open,Istomin D.,Berrer M.,2.2,1.61,2010,6.0
Melbourne,Australian Open,Baghdatis M.,Ferrer D.,1.72,2.0,2010,6.0
Melbourne,Australian Open,Djokovic N.,Chiudinelli M.,1.02,12.0,2010,6.0
Melbourne,Australian Open,Monaco J.,Llodra M.,1.33,3.25,2010,6.0
Melbourne,Australian Open,Falla A.,Granollers M.,1.83,1.83,2010,6.0
Melbourne,Australian Open,Youzhny M.,Hajek J.,1.14,5.0,2010,6.0
Melbourne,Australian Open,Kubot L.,Giraldo S.,1.61,2.2,2010,6.0
Melbourne,Australian Open,Haas T.,Tipsarevic J.,1.61,2.2,2010,6.0
Melbourne,Australian Open,Koubek S.,Dodig I.,1.72,2.0,2010,6.0
Melbourne,Australian Open,Hewitt L.,Young D.,1.06,8.0,2010,6.0
Melbourne,Australian Open,Montanes A.,Robert S.,1.66,2.1,2010,6.0
Melbourne,Australian Open,Tsonga J.W.,Dent T.,1.12,5.5,2010,6.0
Melbourne,Australian Open,Federer R.,Hanescu V.,1.01,15.0,2010,6.0
Melbourne,Australian Open,Verdasco F.,Sergeyev I.,1.02,12.0,2010,6.0
Melbourne,Australian Open,Roddick A.,Lopez F.,1.08,7.0,2010,6.0
Melbourne,Australian Open,Gonzalez F.,Korolev E.,1.22,4.0,2010,6.0
Melbourne,Australian Open,Murray A.,Serra F.,1.0,21.0,2010,6.0
Melbourne,Australian Open,Isner J.,Monfils G.,2.62,1.44,2010,6.0
Melbourne,Australian Open,Del Potro J.M.,Mayer F.,1.05,9.0,2010,6.0
Melbourne,Australian Open,Cilic M.,Wawrinka S.,1.66,2.1,2010,6.0
Melbourne,Australian Open,Nadal R.,Kohlschreiber P.,1.04,10.0,2010,6.0
Melbourne,Australian Open,Karlovic I.,Ljubicic I.,1.8,1.9,2010,6.0
Melbourne,Australian Open,Kubot L.,Youzhny M.,4.0,1.22,2010,6.0
Melbourne,Australian Open,Federer R.,Montanes A.,1.005,21.0,2010,6.0
Melbourne,Australian Open,Davydenko N.,Monaco J.,1.05,9.0,2010,6.0
Melbourne,Australian Open,Djokovic N.,Istomin D.,1.01,15.0,2010,6.0
Melbourne,Australian Open,Verdasco F.,Koubek S.,1.03,11.0,2010,6.0
Melbourne,Australian Open,Almagro N.,Falla A.,1.66,2.1,2010,6.0
Melbourne,Australian Open,Tsonga J.W.,Haas T.,1.3,3.4,2010,6.0
Melbourne,Australian Open,Hewitt L.,Baghdatis M.,2.0,1.72,2010,6.0
Melbourne,Australian Open,Murray A.,Isner J.,1.07,7.5,2010,6.0
Melbourne,Australian Open,Nadal R.,Karlovic I.,1.1,6.5,2010,6.0
Melbourne,Australian Open,Cilic M.,Del Potro J.M.,2.5,1.5,2010,6.0
Melbourne,Australian Open,Roddick A.,Gonzalez F.,1.25,3.75,2010,6.0
Melbourne,Australian Open,Davydenko N.,Verdasco F.,1.3,3.4,2010,6.0
Melbourne,Australian Open,Djokovic N.,Kubot L.,1.01,13.0,2010,6.0
Melbourne,Australian Open,Tsonga J.W.,Almagro N.,1.11,6.0,2010,6.0
Melbourne,Australian Open,Federer R.,Hewitt L.,1.07,7.5,2010,6.0
Melbourne,Australian Open,Cilic M.,Roddick A.,2.37,1.57,2010,6.0
Melbourne,Australian Open,Murray A.,Nadal R.,1.8,2.0,2010,6.0
Melbourne,Australian Open,Federer R.,Davydenko N.,1.33,3.4,2010,6.0
Melbourne,Australian Open,Tsonga J.W.,Djokovic N.,3.0,1.4,2010,6.0
Melbourne,Australian Open,Murray A.,Cilic M.,1.2,4.5,2010,6.0
Melbourne,Australian Open,Federer R.,Tsonga J.W.,1.12,6.0,2010,6.0
Melbourne,Australian Open,Federer R.,Murray A.,1.53,2.5,2010,6.0
Johannesburg ,SA Tennis Open,Kavcic B.,Ascione T.,1.66,2.1,2010,7.0
Johannesburg ,SA Tennis Open,Robert S.,Evans B.,1.28,3.5,2010,7.0
Johannesburg ,SA Tennis Open,Recouderc L.,Darcis S.,3.5,1.28,2010,7.0
Johannesburg ,SA Tennis Open,Ram R.,De Voest R.,2.25,1.57,2010,7.0
Johannesburg ,SA Tennis Open,Prpic F.,Navarro-Pastor I.,,,2010,7.0
Johannesburg ,SA Tennis Open,Lu Y.H.,Nieminen J.,3.0,1.36,2010,7.0
Johannesburg ,SA Tennis Open,Klaasen R.,Guez D.,3.75,1.25,2010,7.0
Johannesburg ,SA Tennis Open,Brown D.,Chiudinelli M.,3.75,1.25,2010,7.0
Johannesburg ,SA Tennis Open,Ouanna J.,Levy H.,1.44,2.62,2010,7.0
Johannesburg ,SA Tennis Open,Lopez F.,Balleret B.,,,2010,7.0
Johannesburg ,SA Tennis Open,Phau B.,Wolmarans F.,1.53,2.37,2010,7.0
Johannesburg ,SA Tennis Open,Van Der Merwe I.,Okun N.,2.0,1.72,2010,7.0
Johannesburg ,SA Tennis Open,Devvarman S.,Malisse X.,2.62,1.44,2010,7.0
Johannesburg ,SA Tennis Open,Monfils G.,Hrbaty D.,1.07,7.5,2010,7.0
Johannesburg ,SA Tennis Open,Alves T.,Dolgopolov O.,2.5,1.5,2010,7.0
Johannesburg ,SA Tennis Open,Ferrer D.,Beck K.,1.08,7.0,2010,7.0
Johannesburg ,SA Tennis Open,Brown D.,Recouderc L.,1.66,2.1,2010,7.0
Johannesburg ,SA Tennis Open,Ram R.,Phau B.,1.8,1.9,2010,7.0
Johannesburg ,SA Tennis Open,Robert S.,Van Der Merwe I.,1.44,2.62,2010,7.0
Johannesburg ,SA Tennis Open,Lopez F.,Kavcic B.,1.16,4.5,2010,7.0
Johannesburg ,SA Tennis Open,Devvarman S.,Alves T.,1.5,2.5,2010,7.0
Johannesburg ,SA Tennis Open,Ferrer D.,Prpic F.,1.06,8.0,2010,7.0
Johannesburg ,SA Tennis Open,Lu Y.H.,Klaasen R.,1.36,3.0,2010,7.0
Johannesburg ,SA Tennis Open,Monfils G.,Ouanna J.,1.11,6.0,2010,7.0
Johannesburg ,SA Tennis Open,Robert S.,Brown D.,1.72,2.0,2010,7.0
Johannesburg ,SA Tennis Open,Ferrer D.,Devvarman S.,1.12,5.5,2010,7.0
Johannesburg ,SA Tennis Open,Lopez F.,Ram R.,1.28,3.5,2010,7.0
Johannesburg ,SA Tennis Open,Monfils G.,Lu Y.H.,1.1,6.5,2010,7.0
Johannesburg ,SA Tennis Open,Robert S.,Ferrer D.,6.0,1.11,2010,7.0
Johannesburg ,SA Tennis Open,Lopez F.,Monfils G.,3.4,1.3,2010,7.0
Johannesburg ,SA Tennis Open,Lopez F.,Robert S.,1.36,3.2,2010,7.0
Santiago,Movistar Open,Granollers M.,Vassallo-Arguello M.,1.72,2.0,2010,8.0
Santiago,Movistar Open,Luczak P.,Starace P.,2.75,1.4,2010,8.0
Santiago,Movistar Open,Martin A.,Daniel M.,1.9,1.8,2010,8.0
Santiago,Movistar Open,Chela J.I.,Aguilar J.,1.22,4.0,2010,8.0
Santiago,Movistar Open,Monaco J.,Massu N.,1.22,4.0,2010,8.0
Santiago,Movistar Open,Riba P.,Ventura S.,1.57,2.25,2010,8.0
Santiago,Movistar Open,Kubot L.,Zeballos H.,2.1,1.66,2010,8.0
Santiago,Movistar Open,Marrero D.,Aranguren J.M.,1.53,2.37,2010,8.0
Santiago,Movistar Open,Bellucci T.,Lapentti N.,1.4,2.75,2010,8.0
Santiago,Movistar Open,Souza J.,Greul S.,2.5,1.5,2010,8.0
Santiago,Movistar Open,Acasuso J.,Podlipnik H.,1.08,7.0,2010,8.0
Santiago,Movistar Open,Schwank E.,Lorenzi P.,1.28,3.5,2010,8.0
Santiago,Movistar Open,Ramirez-Hidalgo R.,Crivoi V.,1.9,1.8,2010,8.0
Santiago,Movistar Open,Capdeville P.,Saavedra Corvalan C.,1.28,3.5,2010,8.0
Santiago,Movistar Open,Mello R.,Cuevas P.,2.75,1.4,2010,8.0
Santiago,Movistar Open,Gonzalez F.,Hernandez O.,1.05,9.0,2010,8.0
Santiago,Movistar Open,Souza J.,Riba P.,2.1,1.66,2010,8.0
Santiago,Movistar Open,Martin A.,Mello R.,2.0,1.72,2010,8.0
Santiago,Movistar Open,Granollers M.,Kubot L.,2.1,1.66,2010,8.0
